lon,lat,name,noise
-69.93939   ,   -4.18708   ,   TICU   , 0.6
-75.79218   ,   6.01458   ,   TITI   , 0.6
-76.13931   ,   6.32443   ,   TONE   , 0.6
-75.40725   ,   7.57179   ,   TARZ   , 0.6
-78.74770   ,   1.81485   ,   TUCO   , 0.6
-78.69788   ,   1.55086   ,   TUMC   , 0.6
-77.63097   ,   1.09396   ,   TUQU   , 0.6
-74.09391   ,   4.61456   ,   UDAP   , 0.6
-75.74467   ,   4.48497   ,   UGCT   , 0.6
-75.67325   ,   5.07229   ,   UNCA   , 0.6
-75.57711   ,   6.26398   ,   UNME   , 0.6
-74.00952   ,   4.94166   ,   UMNG   , 0.6
-76.21020   ,   8.01230   ,   URR0   , 0.6
-72.39133   ,   6.45072   ,   UWAS   , 0.6
-70.73330   ,   7.06672   ,   VAUC   , 0.6
-73.96928   ,   9.04587   ,   VBAM   , 0.6
-73.80586   ,   7.02802   ,   VBAR   , 0.6
-73.85894   ,   5.53321   ,   VBUV   , 0.6
-76.40585   ,   3.40117   ,   VCAL   , 0.6
-67.49485   ,   6.18253   ,   VCAR   , 0.6
-75.41857   ,   5.98063   ,   VCRG   , 0.6
-75.50547   ,   10.20865   ,   VCTG   , 0.6
-73.24783   ,   10.43581   ,   VDPR   , 0.6
-75.76544   ,   4.46030   ,   VEDE   , 0.6
-74.84732   ,   9.28674   ,   VMAG   , 0.6
-75.32423   ,   6.17606   ,   VMAR   , 0.6
-77.15330   ,   1.78501   ,   VMER   , 0.6
-73.09168   ,   6.88333   ,   VMES   , 0.6
-75.25531   ,   3.06225   ,   VNEI   , 0.6
-76.72181   ,   7.81844   ,   VORA   , 0.6
-77.67249   ,   0.86304   ,   VORI   , 0.6
-75.10669   ,   4.39669   ,   VPIJ   , 0.6
-74.86084   ,   10.79377   ,   VPOL   , 0.6
-73.38224   ,   4.06773   ,   VPOM   , 0.6
-76.64170   ,   5.69232   ,   VQUI   , 0.6
-74.32333   ,   4.84705   ,   VROS   , 0.6
-72.63897   ,   2.53251   ,   VSJG   , 0.6
-75.83556   ,   4.78118   ,   VSJP   , 0.6
-74.27288   ,   4.60258   ,   VSOA   , 0.6
-71.75348   ,   6.45240   ,   VTAM   , 0.6
-76.22362   ,   4.09162   ,   VTUL   , 0.6
-72.42707   ,   5.27539   ,   VYPL   , 0.6
-73.98697   ,   5.01902   ,   VZPQ   , 0.6
-74.83506   ,   9.73532   ,   ZBNO   , 0.6
