lon,lat,name,noise
-75.577111  ,  6.263985  ,  UNME ,1.5
-74.009520  ,  4.941658  ,  UMNG ,1.5
-76.210203  ,  8.012303  ,  URR0 ,1.5
-72.391334  ,  6.450715  ,  UWAS ,1.5
-70.733300  ,  7.066722  ,  VAUC ,1.5
-73.969279  ,  9.045870  ,  VBAM ,1.5
-73.805863  ,  7.028020  ,  VBAR ,1.5
-73.858935  ,  5.533208  ,  VBUV ,1.5
-76.405852  ,  3.401172  ,  VCAL ,1.5
-67.494846  ,  6.182533  ,  VCAR ,1.5
-75.418565  ,  5.980627  ,  VCRG ,1.5
-75.505468  ,  10.208649  ,  VCTG ,1.5
-73.247826  ,  10.435807  ,  VDPR ,1.5
-75.765437  ,  4.460302  ,  VEDE ,1.5
-74.847319  ,  9.286743  ,  VMAG ,1.5
-75.324235  ,  6.176060  ,  VMAR ,1.5
-77.153296  ,  1.785014  ,  VMER ,1.5
-73.091682  ,  6.883334  ,  VMES ,1.5
-75.255305  ,  3.062247  ,  VNEI ,1.5
-76.721806  ,  7.818441  ,  VORA ,1.5
-77.672489  ,  0.863040  ,  VORI ,1.5
-75.106692  ,  4.396689  ,  VPIJ ,1.5
-74.860845  ,  10.793773  ,  VPOL ,1.5
-73.382242  ,  4.067728  ,  VPOM ,1.5
-76.641704  ,  5.692316  ,  VQUI ,1.5
-74.323329  ,  4.847048  ,  VROS ,1.5
-72.638971  ,  2.532513  ,  VSJG ,1.5
-75.835560  ,  4.781179  ,  VSJP ,1.5
-74.272879  ,  4.602577  ,  VSOA ,1.5
-71.753475  ,  6.452402  ,  VTAM ,1.5
-76.223624  ,  4.091623  ,  VTUL ,1.5
-72.427073  ,  5.275392  ,  VYPL ,1.5
-73.986973  ,  5.019022  ,  VZPQ ,1.5
