lat,lon,noise
1.81300658318,-78.81388463240,1.5
1.67184024850,-78.98389277480,1.5
1.76199372011,-78.71714440690,1.5
1.97789725002,-78.58926851700,1.5
2.45928418594,-78.55588178360,1.5
2.66985383895,-78.13959250800,1.5
2.87173267560,-77.70358725000,1.5
3.39539240043,-77.39533945280,1.5
3.85136570651,-77.09742501650,1.5
4.02796454482,-77.20759900210,1.5
4.19966477022,-77.53072782770,1.5
4.68215665110,-77.30827814030,1.5
5.32412024435,-77.39926299280,1.5
5.68592527592,-77.28863472330,1.5
6.28425918726,-77.46948416140,1.5
6.70432333503,-77.43912620360,1.5
7.05506224060,-77.71034897280,1.5
7.21877519149,-77.88283740920,1.5
